Mutant_Experiment_Sample_gene	Forebrain	Optic Tectum	Thalamus	Hypothalamus	Cerebellum	Hindbrain	Habenula	Posterior Tuberculum	Mutant_Experiment_Sample	Mutant_Experiment_Sample_gene_idx
CHD8	0.5601905	0.7000047	1.01961946	0.20149456	0.93277025	1.0842038393020601	0.57072389	1.02809036	CHD8_exp2_het_9	exp2_het_9
CHD8	0.75876254	0.76679903	1.05272567	0.25950444	0.95089775	0.83487313985824496	0.67604631	0.90963638	CHD8_exp2_het_10	exp2_het_10
CHD8	0.48826152	0.57367188	0.79737091	0.22875293	0.72177666	0.81834250688552801	0.42811659	0.96368712	CHD8_exp2_het_11	exp2_het_11
CHD8	0.60283887	0.62690181	1.09169316	0.28393984	0.62471753	0.69618719816207797	0.53107381	1.2619698	CHD8_exp2_het_12	exp2_het_12
CHD8	0.63658881	0.59303409	0.87237036	0.19341341	0.74106437	0.73503398895263605	0.52033424	0.88524652	CHD8_exp2_het_13	exp2_het_13
CHD8	0.63929921	0.60318202	0.82133484	0.19931614	0.8187049	0.77085673809051503	0.55919534	0.77947843	CHD8_exp2_het_14	exp2_het_14
CHD8	0.57168669	0.57507974	0.80543554	0.19076772	0.78387475	0.78026288747787398	0.56835645	0.90920883	CHD8_exp2_het_15	exp2_het_15
CHD8	0.56628978	0.55539358	0.81051284	0.16907942	0.79732603	0.62711292505264205	0.46470085	0.82390016	CHD8_exp2_het_16	exp2_het_16
CHD8	0.57539988	0.57166421	0.80224138	0.14685348	0.69187713	0.49860709905624301	0.5183627	0.64472789	CHD8_exp2_hom_1	exp2_hom_1
CHD8	0.52771211	0.48175165	0.66265881	0.10144916	0.6441319	0.66753399372100797	0.4428314	0.58600825	CHD8_exp2_hom_2	exp2_hom_2
CHD8	0.38764927	0.59833246	0.80106544	0.13178007	0.67501742	0.84244173765182495	0.42671806	0.76532453	CHD8_exp2_hom_3	exp2_hom_3
CHD8	0.4356429	0.56727475	0.63770896	0.06114819	0.63960952	0.48115903139114302	0.43472862	0.3184692	CHD8_exp2_hom_4	exp2_hom_4
CHD8	0.51477635	0.56451559	0.72383529	0.12149287	0.6820451	0.54288393259048395	0.50372022	0.50274414	CHD8_exp2_hom_5	exp2_hom_5
CHD8	0.58067095	0.65947974	0.82427144	0.18404983	0.71063364	0.61378544569015503	0.51981062	0.75763625	CHD8_exp2_hom_6	exp2_hom_6
CHD8	0.59063727	0.49724048	0.77338231	0.18328267	0.82026201	0.92286127805709794	0.54466653	0.73628157	CHD8_exp2_hom_7	exp2_hom_7
CHD8	0.70796835	0.59827256	1.06840026	0.2716279	0.52871817	0.57857465744018499	0.71937215	1.071486	CHD8_exp2_hom_8	exp2_hom_8
CHD8	0.51685447	0.50053394	0.73210001	0.15805976	0.63893622	0.60983371734619096	0.42007682	0.85087055	CHD8_exp2_hom_9	exp2_hom_9
CHD8	0.61420369	0.58055156	0.89772391	0.23837818	0.68667561	0.81557208299636796	0.53169727	0.96887082	CHD8_exp2_hom_10	exp2_hom_10
CHD8	0.58855164	0.72546864	0.99538028	0.1927494	0.82006007	0.78197979927062899	0.67542553	0.75073165	CHD8_exp2_hom_11	exp2_hom_11
CHD8	0.53300065	0.64739841	0.67476785	0.13862626	0.64894193	0.54406023025512695	0.48260683	0.49940959	CHD8_exp2_hom_12	exp2_hom_12
CHD8	0.6065855	0.74140644	0.64606857	0.18152253	0.81540787	0.63437819480895996	0.57836872	0.71094221	CHD8_exp2_hom_13	exp2_hom_13
CHD8	0.57507128	0.55636144	0.75576526	0.19025624	0.67542738	0.78948503732681197	0.43944544	0.78727162	CHD8_exp2_hom_14	exp2_hom_14
CHD8	0.73007768	0.56133521	0.98341918	0.31501958	0.66756761	0.74657613039016701	0.62261766	1.05028129	CHD8_exp2_hom_15	exp2_hom_15
CHD8	0.54164052	0.58323199	0.95535201	0.27300632	0.87937313	0.893610119819641	0.62514478	0.97821105	CHD8_exp2_wt_1	exp2_wt_1
CHD8	0.49572805	0.6465975	0.93265796	0.24618633	0.85056174	1.0630640983581501	0.48971856	1.04930973	CHD8_exp2_wt_2	exp2_wt_2
CHD8	0.46186066	0.54480988	0.77057129	0.18634863	0.65084422	0.71849077939987105	0.45988387	0.87135786	CHD8_exp2_wt_3	exp2_wt_3
CHD8	0.46041736	0.45083392	0.46298218	0.08259457	0.49631014	0.27340745925903298	0.38645953	0.31277683	CHD8_exp2_wt_4	exp2_wt_4
CHD8	0.57592654	0.61944902	0.90435791	0.22562586	0.72256988	0.67683649063110296	0.61706352	1.04375243	CHD8_exp2_wt_5	exp2_wt_5
CHD8	0.56281918	0.70945132	0.93473238	0.19635171	1.05226195	0.73265790939330999	0.81311387	0.63334346	CHD8_exp2_wt_6	exp2_wt_6
CHD8	0.54807013	0.47436896	0.72545105	0.1813018	0.51293862	0.54233103990554798	0.47269484	0.75747252	CHD8_exp2_wt_7	exp2_wt_7
CHD8	0.60242546	0.62665808	0.91459084	0.29104912	0.70898056	0.89520961046218805	0.5042612	1.09332037	CHD8_exp2_wt_8	exp2_wt_8
CHD8	0.62881541	0.67817068	1.06484008	0.27208301	0.6730603	0.73374783992767301	0.61039692	1.107301	CHD8_exp2_wt_9	exp2_wt_9
CHD8	0.52952927	0.60709608	1.00435734	0.21206859	0.79298741	0.693301081657409	0.47709098	0.98262781	CHD8_exp2_wt_10	exp2_wt_10
CHD8	0.65504986	0.53123927	0.91627824	0.2424349	0.59656191	0.68309831619262695	0.51198477	1.0399729	CHD8_exp2_wt_11	exp2_wt_11
CHD8	0.6065163	0.57645398	0.9535138	0.20717508	0.68252748	0.68443906307220403	0.55451024	0.94857121	CHD8_exp2_wt_12	exp2_wt_12
CHD8	0.52268916	0.62781918	0.99598324	0.19710653	0.70330101	0.64093351364135698	0.5252139	0.94371039	CHD8_exp2_wt_13	exp2_wt_13
CHD8	0.6389178	0.50259942	0.98824477	0.2511273	0.60486245	0.65940940380096402	0.52387071	1.11762488	CHD8_exp2_wt_14	exp2_wt_14
CHD8	0.30555868	0.26104984	0.32764056	0.07573365	0.25451505	0.22240607440471599	0.29695651	0.33335334	CHD8_exp3_het_1	exp3_het_1
CHD8	0.41119781	0.32525107	0.35811698	0.04557221	0.41000789	0.22915004193782801	0.29712987	0.27570957	CHD8_exp3_het_2	exp3_het_2
CHD8	0.28576273	0.16832015	0.18570335	0.03970789	0.14263225	0.10807021707296301	0.19539654	0.13645673	CHD8_exp3_het_3	exp3_het_3
CHD8	0.40262312	0.26639235	0.37949473	0.08989264	0.34186399	0.31289353966712902	0.2789264	0.40070537	CHD8_exp3_het_4	exp3_het_4
CHD8	0.43565589	0.29668006	0.43917984	0.1335139	0.32733265	0.29668396711349398	0.30743414	0.44059414	CHD8_exp3_het_5	exp3_het_5
CHD8	0.34698531	0.2224818	0.28905687	0.04053821	0.22996078	0.139504984021186	0.31459922	0.19703935	CHD8_exp3_het_6	exp3_het_6
CHD8	0.2792694	0.21761373	0.26387131	0.04399908	0.22329295	0.245912790298461	0.23711751	0.24921054	CHD8_exp3_het_7	exp3_het_7
CHD8	0.27336624	0.22356226	0.22173727	0.02973422	0.17277493	0.117699667811393	0.25128987	0.14072143	CHD8_exp3_het_8	exp3_het_8
CHD8	0.68816137	0.32414487	0.54153901	0.17355315	0.36504993	0.46884384751319802	0.33996999	0.57466978	CHD8_exp3_het_9	exp3_het_9
CHD8	0.44220483	0.38502881	0.38533852	0.14083266	0.40937847	0.54728227853775002	0.32323819	0.48062816	CHD8_exp3_het_10	exp3_het_10
CHD8	0.23652846	0.24179316	0.30570671	0.04142368	0.22945534	0.21776199340820299	0.20591667	0.24358806	CHD8_exp3_hom_1	exp3_hom_1
CHD8	0.59788138	0.3296355	0.46414313	0.14032847	0.36934477	0.33898943662643399	0.40681118	0.50138807	CHD8_exp3_hom_2	exp3_hom_2
CHD8	0.30456373	0.20163271	0.302356	0.05991848	0.22496204	0.16786219179630199	0.24845532	0.2876057	CHD8_exp3_hom_3	exp3_hom_3
CHD8	0.51187754	0.25560778	0.2575168	0.04752148	0.23535414	0.15994353592395699	0.28352502	0.18221901	CHD8_exp3_hom_4	exp3_hom_4
CHD8	0.57200098	0.30502403	0.31441647	0.08197425	0.31383982	0.24177306890487599	0.34955937	0.29819492	CHD8_exp3_hom_5	exp3_hom_5
CHD8	0.58140296	0.35140842	0.38007006	0.09084805	0.37763017	0.33775344491004899	0.39471155	0.38235462	CHD8_exp3_hom_6	exp3_hom_6
CHD8	0.49282515	0.26432019	0.49857587	0.13519332	0.32484293	0.38910976052284202	0.34561881	0.56084752	CHD8_exp3_hom_7	exp3_hom_7
CHD8	0.30759516	0.23148933	0.30359727	0.04774433	0.29827902	0.21674025058746299	0.31747001	0.1996496	CHD8_exp3_hom_8	exp3_hom_8
CHD8	0.62933379	0.34886682	0.51774186	0.16939652	0.45670328	0.39512482285499501	0.39960721	0.56862456	CHD8_exp3_hom_9	exp3_hom_9
CHD8	0.37962383	0.2154799	0.25228593	0.07632915	0.20583874	0.145162463188171	0.29811594	0.23462315	CHD8_exp3_hom_10	exp3_hom_10
CHD8	0.29602009	0.22991548	0.28165913	0.04561587	0.24905041	0.19448669254779799	0.26709285	0.23908223	CHD8_exp3_wt_1	exp3_wt_1
CHD8	0.40480497	0.30118138	0.53773791	0.1177743	0.31587264	0.3675537109375	0.29813096	0.60509783	CHD8_exp3_wt_2	exp3_wt_2
CHD8	0.56854784	0.40006608	0.52311414	0.13270171	0.45413774	0.45151159167289701	0.37947744	0.52006668	CHD8_exp3_wt_3	exp3_wt_3
CHD8	0.3869037	0.33153999	0.49055606	0.13681579	0.41893002	0.40079310536384499	0.26076686	0.5420934	CHD8_exp3_wt_4	exp3_wt_4
CHD8	0.28161928	0.25501338	0.28583023	0.05566779	0.26651111	0.30636700987815801	0.23598167	0.29838213	CHD8_exp3_wt_5	exp3_wt_5
