perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Cntnap5c	0.000437869	0.021306757	2.839886546	4.515824324	12.36324637	Excit_L6CT_CTX	Foxg1_1	1	Cntnap5c	passed_through
Foxg1	Svil	3.61E-09	1.11E-06	4.99832136	4.624763038	34.82453852	Excit_L6CT_CTX	Foxg1_1	1	Svil	passed_through
Foxg1	Arhgap12	0.000128453	0.008649413	1.093060144	6.37484726	14.66434666	Excit_L6CT_CTX	Foxg1_1	1	Arhgap12	passed_through
Foxg1	Gm50069	0.000745779	0.031385702	-8.179247971	3.108156763	11.37154323	Excit_L6CT_CTX	Foxg1_1	1	Gm50069	passed_through
Foxg1	Cables1	0.000475137	0.022852452	1.601380022	5.719198718	12.21079718	Excit_L6CT_CTX	Foxg1_1	1	Cables1	passed_through
Foxg1	Ttc39c	0.000575961	0.026185219	1.701822752	5.239286031	11.85210735	Excit_L6CT_CTX	Foxg1_1	1	Ttc39c	passed_through
Foxg1	Fhod3	0.00013599	0.008981317	-0.588057634	7.128399725	14.5568904	Excit_L6CT_CTX	Foxg1_1	1	Fhod3	passed_through
Foxg1	Syt4	0.000480984	0.023005977	0.374211923	7.467958524	12.18798218	Excit_L6CT_CTX	Foxg1_1	1	Syt4	passed_through
Foxg1	Camk4	5.22E-05	0.004116719	-0.380684558	7.736085247	16.36594763	Excit_L6CT_CTX	Foxg1_1	1	Camk4	passed_through
Foxg1	Kcnn2	0.000394497	0.019815525	-0.589997185	7.001187121	12.55807894	Excit_L6CT_CTX	Foxg1_1	1	Kcnn2	passed_through
Foxg1	Prr16	3.90E-05	0.0034727	4.134665756	5.294385825	16.91805939	Excit_L6CT_CTX	Foxg1_1	1	Prr16	passed_through
Foxg1	Chsy3	0.001013073	0.038711207	-0.454405799	7.389578549	10.80351925	Excit_L6CT_CTX	Foxg1_1	1	Chsy3	passed_through
Foxg1	Grp	4.75E-07	8.67E-05	0.958429348	7.063314098	25.36264713	Excit_L6CT_CTX	Foxg1_1	1	Grp	passed_through
Foxg1	Ccbe1	1.82E-06	0.000266478	3.119207805	5.13217181	22.77804818	Excit_L6CT_CTX	Foxg1_1	1	Ccbe1	passed_through
Foxg1	St8sia5	5.91E-10	2.30E-07	-2.210644333	5.780380527	38.35051481	Excit_L6CT_CTX	Foxg1_1	1	St8sia5	passed_through
Foxg1	Neto1	0.000268295	0.014987225	-0.711089322	7.055931631	13.27970279	Excit_L6CT_CTX	Foxg1_1	1	Neto1	passed_through
Foxg1	Ndufs8	0.001383457	0.049380307	0.376012991	7.471020872	10.22771795	Excit_L6CT_CTX	Foxg1_1	1	Ndufs8	passed_through
Foxg1	Ccdc87	0.000828925	0.033512772	-7.629654365	2.739581486	11.17532219	Excit_L6CT_CTX	Foxg1_1	1	Ccdc87	passed_through
Foxg1	Ehbp1l1	0.00089734	0.03537393	-0.495336751	7.079769561	11.02824668	Excit_L6CT_CTX	Foxg1_1	1	Ehbp1l1	passed_through
Foxg1	9830166K06Rik	5.21E-05	0.004116719	-8.473566215	2.766296364	16.37070752	Excit_L6CT_CTX	Foxg1_1	1	9830166K06Rik	passed_through
Foxg1	Rorb	7.77E-07	0.000129131	2.130524684	5.679996206	24.41290932	Excit_L6CT_CTX	Foxg1_1	1	Rorb	passed_through
Foxg1	Smarca2	1.03E-05	0.001110512	-0.424712845	7.679913126	19.44734975	Excit_L6CT_CTX	Foxg1_1	1	Smarca2	passed_through
Foxg1	Prkg1	0.000204872	0.012210961	-0.513254722	7.221595595	13.78586322	Excit_L6CT_CTX	Foxg1_1	1	Prkg1	passed_through
Foxg1	Slit1	0.000117377	0.007989958	-1.001758492	6.301069677	14.83436986	Excit_L6CT_CTX	Foxg1_1	1	Slit1	passed_through
Foxg1	Frat2	0.000147898	0.009595628	-1.451896017	5.604977697	14.39878622	Excit_L6CT_CTX	Foxg1_1	1	Frat2	passed_through
Foxg1	Kcnip2	0.000142292	0.009280275	0.716306334	6.781933262	14.47155531	Excit_L6CT_CTX	Foxg1_1	1	Kcnip2	passed_through
Foxg1	Neurl1a	4.67E-05	0.003880259	1.793586351	5.593061002	16.57954396	Excit_L6CT_CTX	Foxg1_1	1	Neurl1a	passed_through
Foxg1	Sorcs1	5.03E-05	0.004087169	2.20113757	5.007660032	16.43788158	Excit_L6CT_CTX	Foxg1_1	1	Sorcs1	passed_through
Foxg1	Cask	0.000629473	0.027806189	-0.3592677	7.485001208	11.68673381	Excit_L6CT_CTX	Foxg1_1	1	Cask	passed_through
Foxg1	Maoa	0.001365058	0.049021932	-1.102091124	6.084578895	10.2524152	Excit_L6CT_CTX	Foxg1_1	1	Maoa	passed_through
Foxg1	Rp2	0.000561853	0.025702693	-5.248061764	4.068578736	11.8982967	Excit_L6CT_CTX	Foxg1_1	1	Rp2	passed_through
Foxg1	Zcchc12	2.28E-11	1.09E-08	1.347104287	7.129430156	44.71303806	Excit_L6CT_CTX	Foxg1_1	1	Zcchc12	passed_through
Foxg1	Gria3	0.000301123	0.016452132	-0.567593475	7.123199307	13.06339739	Excit_L6CT_CTX	Foxg1_1	1	Gria3	passed_through
Foxg1	Rtl8c	2.64E-05	0.002452568	0.835272008	7.340931578	17.66216248	Excit_L6CT_CTX	Foxg1_1	1	Rtl8c	passed_through
Foxg1	Tmem47	0.000474641	0.022852452	1.059676292	6.090571042	12.21274647	Excit_L6CT_CTX	Foxg1_1	1	Tmem47	passed_through
Foxg1	Dmd	9.91E-06	0.001073351	-0.439881206	7.572548238	19.52890019	Excit_L6CT_CTX	Foxg1_1	1	Dmd	passed_through
Foxg1	Diaph2	0.000801646	0.032634347	1.093842	5.95068656	11.23741687	Excit_L6CT_CTX	Foxg1_1	1	Diaph2	passed_through
Foxg1	Irs4	8.18E-07	0.000132269	9.09571394	3.076041766	24.3159625	Excit_L6CT_CTX	Foxg1_1	1	Irs4	passed_through
Foxg1	Pir	0.000347134	0.017795273	8.352254057	2.745115852	12.797223	Excit_L6CT_CTX	Foxg1_1	1	Pir	passed_through
Tbr1	Pantr1	6.22E-06	0.006660299	3.448581326	6.383442732	20.41884701	Excit_L6CT_CTX	Tbr1_2	2	Pantr1	passed_through
Tbr1	Plekhm3	5.00E-05	0.021563471	-6.250020343	5.340932686	16.44949715	Excit_L6CT_CTX	Tbr1_2	2	Plekhm3	passed_through
Tbr1	Pikfyve	0.000205236	0.038418196	-5.105105357	5.712069058	13.7825241	Excit_L6CT_CTX	Tbr1_2	2	Pikfyve	passed_through
Tbr1	Marchf4	1.01E-05	0.007926049	-6.758630734	5.426799298	19.49316673	Excit_L6CT_CTX	Tbr1_2	2	4-Mar	rescued_excel
Tbr1	Rnpepl1	0.00027511	0.045257216	-5.382668488	5.700823461	13.23268333	Excit_L6CT_CTX	Tbr1_2	2	Rnpepl1	passed_through
Tbr1	Insig2	8.34E-05	0.028900973	-3.254640635	6.343188682	15.47862151	Excit_L6CT_CTX	Tbr1_2	2	Insig2	passed_through
Tbr1	Flvcr1	1.19E-06	0.001750841	-6.864854	5.639188936	23.59424059	Excit_L6CT_CTX	Tbr1_2	2	Flvcr1	passed_through
Tbr1	Ehmt1	9.79E-06	0.007926049	1.714342983	7.000450657	19.55285424	Excit_L6CT_CTX	Tbr1_2	2	Ehmt1	passed_through
Tbr1	Nsmf	0.000330158	0.046951764	0.918390334	7.558011301	12.89104476	Excit_L6CT_CTX	Tbr1_2	2	Nsmf	passed_through
Tbr1	Zbtb43	0.000276709	0.045257216	-3.671352824	5.700184066	13.22182183	Excit_L6CT_CTX	Tbr1_2	2	Zbtb43	passed_through
Tbr1	Ano3	9.15E-08	0.001078016	4.759048239	6.055137025	28.54505168	Excit_L6CT_CTX	Tbr1_2	2	Ano3	passed_through
Tbr1	Ncoa6	0.000291578	0.045748125	2.01415811	6.499879247	13.12373411	Excit_L6CT_CTX	Tbr1_2	2	Ncoa6	passed_through
Tbr1	Gid8	0.000205532	0.038418196	-2.208084132	6.536723111	13.77981999	Excit_L6CT_CTX	Tbr1_2	2	Gid8	passed_through
Tbr1	Zgpat	7.76E-07	0.001407343	2.814213878	6.560002982	24.41693138	Excit_L6CT_CTX	Tbr1_2	2	Zgpat	passed_through
Tbr1	Uckl1	0.000182656	0.036456994	-6.437653148	5.30317925	14.00158621	Excit_L6CT_CTX	Tbr1_2	2	Uckl1	passed_through
Tbr1	6530403H02Rik	0.000358011	0.04934023	-8.060236858	4.69802742	12.7395111	Excit_L6CT_CTX	Tbr1_2	2	6530403H02Rik	passed_through
Tbr1	Dnttip2	0.000146427	0.032966029	3.765352892	5.715080086	14.41760392	Excit_L6CT_CTX	Tbr1_2	2	Dnttip2	passed_through
Tbr1	Grin3a	0.000169237	0.034361039	-3.154866603	5.954968116	14.1450985	Excit_L6CT_CTX	Tbr1_2	2	Grin3a	passed_through
Tbr1	Serinc2	0.000113856	0.031212748	4.658147287	5.233363923	14.89180846	Excit_L6CT_CTX	Tbr1_2	2	Serinc2	passed_through
Tbr1	Drc1	0.000109188	0.031212748	-8.18294099	4.938791776	14.97078961	Excit_L6CT_CTX	Tbr1_2	2	Drc1	passed_through
Tbr1	Fbxl5	0.000229414	0.039729063	1.433926131	7.014264896	13.57339763	Excit_L6CT_CTX	Tbr1_2	2	Fbxl5	passed_through
Tbr1	Thoc2l	0.000160455	0.03374142	-20.75687392	4.532778425	14.24536928	Excit_L6CT_CTX	Tbr1_2	2	D930016D06Rik	passed_through
Tbr1	Fbxo21	0.000125123	0.031598872	-1.340628267	7.060038676	14.71385752	Excit_L6CT_CTX	Tbr1_2	2	Fbxo21	passed_through
Tbr1	Slc15a4	0.000121912	0.031598872	-6.80139081	5.231872395	14.76287804	Excit_L6CT_CTX	Tbr1_2	2	Slc15a4	passed_through
Tbr1	Tspan33	3.07E-05	0.015051731	-7.139630197	5.247422287	17.37546227	Excit_L6CT_CTX	Tbr1_2	2	Tspan33	passed_through
Tbr1	Zfp282	5.13E-05	0.021563471	-4.038060576	5.836768334	16.40049497	Excit_L6CT_CTX	Tbr1_2	2	Zfp282	passed_through
Tbr1	Mtmr14	1.80E-05	0.011745557	-7.892485031	5.104511874	18.39493407	Excit_L6CT_CTX	Tbr1_2	2	Mtmr14	passed_through
Tbr1	Gm15706	0.000105615	0.031092999	-6.046475374	5.455056032	15.03358545	Excit_L6CT_CTX	Tbr1_2	2	Gm15706	passed_through
Tbr1	Arhgef1	0.000102177	0.031092999	2.382209912	6.241193656	15.09604419	Excit_L6CT_CTX	Tbr1_2	2	Arhgef1	passed_through
Tbr1	Zfp260	0.000298299	0.045748125	1.832933048	6.750881904	13.08104439	Excit_L6CT_CTX	Tbr1_2	2	Zfp260	passed_through
Tbr1	Alg11	0.000113973	0.031212748	7.221898183	4.838018686	14.8898732	Excit_L6CT_CTX	Tbr1_2	2	Alg11	passed_through
Tbr1	Gins4	3.11E-07	0.001110668	-6.828175175	5.686033495	26.18216654	Excit_L6CT_CTX	Tbr1_2	2	Gins4	passed_through
Tbr1	Golga7	2.60E-05	0.014556503	-2.530692473	6.510914041	17.69296858	Excit_L6CT_CTX	Tbr1_2	2	Golga7	passed_through
Tbr1	Dusp26	0.00028258	0.045584464	1.049788805	7.407849631	13.18246821	Excit_L6CT_CTX	Tbr1_2	2	Dusp26	passed_through
Tbr1	Asah1	2.97E-05	0.015051731	-5.12593786	5.93751616	17.43665355	Excit_L6CT_CTX	Tbr1_2	2	Asah1	passed_through
Tbr1	Zfp827	6.70E-05	0.02464504	-6.982288374	5.162572438	15.89458033	Excit_L6CT_CTX	Tbr1_2	2	Zfp827	passed_through
Tbr1	Cmtm4	0.000135239	0.031922025	-5.399956626	5.651717803	14.56733236	Excit_L6CT_CTX	Tbr1_2	2	Cmtm4	passed_through
Tbr1	Gm5914	5.46E-05	0.022191081	2.269162347	6.244487301	16.27962054	Excit_L6CT_CTX	Tbr1_2	2	Gm5914	passed_through
Tbr1	Acta1	0.000330927	0.046951764	2.973621288	6.045083842	12.88669099	Excit_L6CT_CTX	Tbr1_2	2	Acta1	passed_through
Tbr1	Coa6	0.000124125	0.031598872	2.176891013	6.350302718	14.7289541	Excit_L6CT_CTX	Tbr1_2	2	Coa6	passed_through
Tbr1	Alkbh8	9.98E-05	0.031092999	2.474520505	6.111110026	15.13954792	Excit_L6CT_CTX	Tbr1_2	2	Alkbh8	passed_through
Tbr1	Mtmr2	0.00022934	0.039729063	2.501691635	5.975602867	13.57400415	Excit_L6CT_CTX	Tbr1_2	2	Mtmr2	passed_through
Tbr1	Ift46	0.000152341	0.032966029	2.353966568	6.271186222	14.34304558	Excit_L6CT_CTX	Tbr1_2	2	Ift46	passed_through
Tbr1	Pierce2	0.000186519	0.036607487	-17.86534893	4.354044198	13.96224169	Excit_L6CT_CTX	Tbr1_2	2	Ccpg1os	passed_through
Tbr1	Ube3d	0.000149946	0.032966029	-21.02213369	4.464432458	14.37288268	Excit_L6CT_CTX	Tbr1_2	2	Ube2cbp	passed_through
Tbr1	Cep63	4.43E-06	0.005801433	-7.643813187	5.365648065	21.06750383	Excit_L6CT_CTX	Tbr1_2	2	Cep63	passed_through
Tbr1	Gmppb	0.000212436	0.039088312	4.456155281	5.210771504	13.71775648	Excit_L6CT_CTX	Tbr1_2	2	Gmppb	passed_through
Tbr1	Pfkfb4	0.000299134	0.045748125	3.876964974	5.437664029	13.07580705	Excit_L6CT_CTX	Tbr1_2	2	Pfkfb4	passed_through
Tbr1	Chchd10	0.000126116	0.031598872	1.659204748	7.187093045	14.69895379	Excit_L6CT_CTX	Tbr1_2	2	Chchd10	passed_through
Tbr1	2610008E11Rik	3.05E-05	0.015051731	-7.460726643	5.194967061	17.3878174	Excit_L6CT_CTX	Tbr1_2	2	2610008E11Rik	passed_through
Tbr1	Med16	0.000200431	0.038418196	-3.229479614	6.128979604	13.8270366	Excit_L6CT_CTX	Tbr1_2	2	Med16	passed_through
Tbr1	Lmnb2	0.000102272	0.031092999	-6.300326072	5.383655165	15.09428436	Excit_L6CT_CTX	Tbr1_2	2	Lmnb2	passed_through
Tbr1	Washc4	2.49E-05	0.014556503	-5.954357657	5.623158506	17.77535516	Excit_L6CT_CTX	Tbr1_2	2	Washc4	passed_through
Tbr1	Xpot	9.24E-06	0.007926049	3.813345807	5.99127292	19.66222901	Excit_L6CT_CTX	Tbr1_2	2	Xpot	passed_through
Tbr1	Nxph4	0.000103945	0.031092999	-5.814800257	5.52164545	15.06366774	Excit_L6CT_CTX	Tbr1_2	2	Nxph4	passed_through
Tbr1	Trim11	0.000347316	0.048690348	-5.499609812	5.370561572	12.7962456	Excit_L6CT_CTX	Tbr1_2	2	Trim11	passed_through
Tbr1	Ccnq	0.000166982	0.034361039	-5.909523706	5.490060568	14.17034094	Excit_L6CT_CTX	Tbr1_2	2	Ccnq	passed_through
Tbr1	Kcnf1	0.000297101	0.045748125	-6.047666729	5.17891932	13.08858049	Excit_L6CT_CTX	Tbr1_2	2	Kcnf1	passed_through
Tbr1	Cys1	0.000135538	0.031922025	-5.541121135	5.617552543	14.56316248	Excit_L6CT_CTX	Tbr1_2	2	Cys1	passed_through
Tbr1	Spata7	0.00014817	0.032966029	2.210102017	6.289917396	14.39531667	Excit_L6CT_CTX	Tbr1_2	2	Spata7	passed_through
Tbr1	Brd9	0.000216298	0.039186467	-1.761161081	6.794173455	13.68392901	Excit_L6CT_CTX	Tbr1_2	2	Brd9	passed_through
Tbr1	Sugt1	1.15E-05	0.007991747	1.273874603	7.337109205	19.23838772	Excit_L6CT_CTX	Tbr1_2	2	Sugt1	passed_through
Tbr1	Ttc33	0.000314236	0.046663219	-2.28791837	6.474574035	12.98356848	Excit_L6CT_CTX	Tbr1_2	2	Ttc33	passed_through
Tbr1	Dnajc21	2.16E-05	0.013408608	-3.589519771	6.352239984	18.03974063	Excit_L6CT_CTX	Tbr1_2	2	Dnajc21	passed_through
Tbr1	Klf10	0.000132073	0.031922025	4.560276452	5.543516548	14.61197602	Excit_L6CT_CTX	Tbr1_2	2	Klf10	passed_through
Tbr1	Selenoo	4.82E-05	0.021563471	-5.614903729	5.702254523	16.51897263	Excit_L6CT_CTX	Tbr1_2	2	Selenoo	passed_through
Tbr1	Tmem186	0.00010028	0.031092999	5.407946032	4.856997511	15.13143177	Excit_L6CT_CTX	Tbr1_2	2	Tmem186	passed_through
Tbr1	Fam246a	0.000360331	0.04934023	4.372415267	5.243001663	12.72743103	Excit_L6CT_CTX	Tbr1_2	2	B830017H08Rik	passed_through
Tbr1	Masp1	4.22E-05	0.019866664	-8.063174227	4.980803002	16.77085372	Excit_L6CT_CTX	Tbr1_2	2	Masp1	passed_through
Tbr1	Nit2	1.13E-05	0.007991747	-5.934934119	5.761010159	19.27808334	Excit_L6CT_CTX	Tbr1_2	2	Nit2	passed_through
Tbr1	Lix1	0.000220162	0.039282245	1.16859462	7.217318814	13.65067602	Excit_L6CT_CTX	Tbr1_2	2	Lix1	passed_through
Tbr1	Zfp40	2.26E-07	0.001110668	-6.217874363	5.953619139	26.79777687	Excit_L6CT_CTX	Tbr1_2	2	Zfp40	passed_through
Tbr1	Lmf1	0.000153968	0.032966029	-7.208341634	5.348881584	14.32304579	Excit_L6CT_CTX	Tbr1_2	2	Lmf1	passed_through
Tbr1	Rrp1b	0.000308161	0.04652444	-3.11660077	5.79635839	13.02012527	Excit_L6CT_CTX	Tbr1_2	2	Rrp1b	passed_through
Tbr1	Zfp81	7.54E-05	0.026916393	-6.582635177	5.535548954	15.66956854	Excit_L6CT_CTX	Tbr1_2	2	Zfp81	passed_through
Tbr1	Polr1h	0.000325255	0.046951764	1.867213715	6.447126411	12.919049	Excit_L6CT_CTX	Tbr1_2	2	Znrd1	passed_through
Tbr1	Rab27b	0.000317006	0.046663219	-6.624958282	4.967898317	12.96714202	Excit_L6CT_CTX	Tbr1_2	2	Rab27b	passed_through
Tbr1	Mbd1	4.04E-07	0.001110668	8.23579478	5.518643086	25.67563891	Excit_L6CT_CTX	Tbr1_2	2	Mbd1	passed_through
Tbr1	Bbs1	6.07E-05	0.023821936	-8.061920442	4.99470177	16.0810693	Excit_L6CT_CTX	Tbr1_2	2	Bbs1	passed_through
Tbr1	Taf6l	5.55E-06	0.006535743	5.616078204	5.312750098	20.63742429	Excit_L6CT_CTX	Tbr1_2	2	Taf6l	passed_through
Tbr1	Dagla	0.00027343	0.045257216	-3.220025418	5.991317793	13.24416545	Excit_L6CT_CTX	Tbr1_2	2	Dagla	passed_through
Tbr1	Ptar1	4.72E-07	0.001110668	-22.58707991	5.000662097	25.37669434	Excit_L6CT_CTX	Tbr1_2	2	Ptar1	passed_through
Tbr1	Pcgf5	8.96E-06	0.007926049	-23.60249383	5.028876271	19.72037288	Excit_L6CT_CTX	Tbr1_2	2	Pcgf5	passed_through
Tbr1	Ccdc120	8.37E-07	0.001407343	5.186852897	5.576552575	24.27176091	Excit_L6CT_CTX	Tbr1_2	2	Ccdc120	passed_through
Tbr1	Ube2a	6.42E-05	0.024395726	1.256781501	7.336514381	15.97392132	Excit_L6CT_CTX	Tbr1_2	2	Ube2a	passed_through
Tbr1	Pola1	0.000256085	0.043705178	-6.298509898	5.202040404	13.36704133	Excit_L6CT_CTX	Tbr1_2	2	Pola1	passed_through
Nr2f1	Medag	7.99E-06	0.021358439	4.606924636	5.673422885	19.93973655	Excit_Upper	Nr2f1_2	2	Medag	passed_through
Nr2f1	Mt3	8.38E-07	0.004300823	0.860226294	7.413143013	24.2683689	Excit_Upper	Nr2f1_2	2	Mt3	passed_through
Nr2f1	Thsd4	6.38E-07	0.004300823	2.486854865	6.437221822	24.7953604	Excit_Upper	Nr2f1_2	2	Thsd4	passed_through
Nr2f1	9630014M24Rik	8.32E-06	0.021358439	4.748022209	5.487104815	19.86205161	Excit_Upper	Nr2f1_2	2	9630014M24Rik	passed_through
Nr2f1	Gm28376	0.000245132	0.01668129	-6.208779159	4.433591735	13.44903803	Excit_L6CT_CTX	Nr2f1_2	2	Gm28376	passed_through
Nr2f1	Jph1	0.000247088	0.016720975	-1.320764957	6.241597508	13.43412871	Excit_L6CT_CTX	Nr2f1_2	2	Jph1	passed_through
Nr2f1	B3gat2	7.18E-05	0.009211331	3.048385707	5.742737403	15.76177343	Excit_L6CT_CTX	Nr2f1_2	2	B3gat2	passed_through
Nr2f1	Hs6st1	0.000245042	0.01668129	-2.064893668	5.449411113	13.44972695	Excit_L6CT_CTX	Nr2f1_2	2	Hs6st1	passed_through
Nr2f1	Pantr1	2.66E-07	0.000438735	3.222803219	6.194426653	26.47856914	Excit_L6CT_CTX	Nr2f1_2	2	Pantr1	passed_through
Nr2f1	9130024F11Rik	3.35E-06	0.001775849	1.638963189	6.591068144	21.60307763	Excit_L6CT_CTX	Nr2f1_2	2	9130024F11Rik	passed_through
Nr2f1	Zdbf2	0.001387714	0.044837512	-1.191812909	6.368338508	10.22205187	Excit_L6CT_CTX	Nr2f1_2	2	Zdbf2	passed_through
Nr2f1	Vwc2l	0.000528064	0.025424302	-7.944348447	4.215769065	12.01385899	Excit_L6CT_CTX	Nr2f1_2	2	Vwc2l	passed_through
Nr2f1	Cdh7	0.001360622	0.044412696	7.419731192	4.315724014	10.25841912	Excit_L6CT_CTX	Nr2f1_2	2	Cdh7	passed_through
Nr2f1	Ptpn4	0.000669301	0.029635633	1.380066057	6.214833982	11.57261735	Excit_L6CT_CTX	Nr2f1_2	2	Ptpn4	passed_through
Nr2f1	Tmem163	0.000433744	0.02316302	-6.787020757	4.082133167	12.38091741	Excit_L6CT_CTX	Nr2f1_2	2	Tmem163	passed_through
Nr2f1	Zranb3	0.000699692	0.030223205	-6.784640798	4.08040195	11.49006568	Excit_L6CT_CTX	Nr2f1_2	2	Zranb3	passed_through
Nr2f1	Pfkfb2	0.000199346	0.01523473	3.2377428	5.061856024	13.83724057	Excit_L6CT_CTX	Nr2f1_2	2	Pfkfb2	passed_through
Nr2f1	Lemd1	0.001274564	0.042640408	-7.925863789	2.919928794	10.37900423	Excit_L6CT_CTX	Nr2f1_2	2	Lemd1	passed_through
Nr2f1	Ppp1r12b	0.000135401	0.012278286	1.149167991	6.719533185	14.56507955	Excit_L6CT_CTX	Nr2f1_2	2	Ppp1r12b	passed_through
Nr2f1	Tor1aip2	5.74E-06	0.00244196	-2.224917602	6.236973269	20.57146135	Excit_L6CT_CTX	Nr2f1_2	2	Tor1aip2	passed_through
Nr2f1	Cenpl	0.000155064	0.013491706	-12.52306055	3.092538014	14.30969319	Excit_L6CT_CTX	Nr2f1_2	2	Cenpl	passed_through
Nr2f1	Hsd17b7	0.000954864	0.036164636	2.079985906	5.817611848	10.91310355	Excit_L6CT_CTX	Nr2f1_2	2	Hsd17b7	passed_through
Nr2f1	Kcnj9	0.001525592	0.047051405	-2.845467424	5.639922359	10.04744733	Excit_L6CT_CTX	Nr2f1_2	2	Kcnj9	passed_through
Nr2f1	Igsf9	5.25E-05	0.007994147	-7.640954937	4.673239104	16.35554238	Excit_L6CT_CTX	Nr2f1_2	2	Igsf9	passed_through
Nr2f1	Vsig8	0.000636794	0.028724453	8.597203628	4.237625735	11.66521893	Excit_L6CT_CTX	Nr2f1_2	2	Vsig8	passed_through
Nr2f1	Kif26b	0.000126416	0.01205509	-2.6812191	5.11453412	14.69447491	Excit_L6CT_CTX	Nr2f1_2	2	Kif26b	passed_through
Nr2f1	Lyplal1	0.000626497	0.02847521	2.614876769	5.459097884	11.69555236	Excit_L6CT_CTX	Nr2f1_2	2	Lyplal1	passed_through
Nr2f1	Rrp15	0.00030971	0.019150164	2.161391464	5.59883322	13.01073474	Excit_L6CT_CTX	Nr2f1_2	2	Rrp15	passed_through
Nr2f1	A430027H14Rik	0.001660887	0.049344562	-7.38145901	3.641886337	9.891003737	Excit_L6CT_CTX	Nr2f1_2	2	A430027H14Rik	passed_through
Nr2f1	Itga8	0.000234276	0.01662147	7.975682127	4.767214562	13.53403695	Excit_L6CT_CTX	Nr2f1_2	2	Itga8	passed_through
Nr2f1	Tor1b	5.90E-05	0.008490893	-5.159622315	5.056706817	16.13321335	Excit_L6CT_CTX	Nr2f1_2	2	Tor1b	passed_through
Nr2f1	Lrsam1	0.000855545	0.034280895	6.001307658	4.487512911	11.11668663	Excit_L6CT_CTX	Nr2f1_2	2	Lrsam1	passed_through
Nr2f1	Psmd5	0.000269518	0.017666983	1.077531769	6.590695462	13.27117808	Excit_L6CT_CTX	Nr2f1_2	2	Psmd5	passed_through
Nr2f1	Slc1a2	0.000174484	0.014169243	-0.861191301	7.33414549	14.0876709	Excit_L6CT_CTX	Nr2f1_2	2	Slc1a2	passed_through
Nr2f1	Cd59a	0.001480559	0.046584853	-13.21893468	3.097934784	10.10265501	Excit_L6CT_CTX	Nr2f1_2	2	Cd59a	passed_through
Nr2f1	Ano3	4.57E-05	0.00747916	4.205955731	5.610900622	16.61698202	Excit_L6CT_CTX	Nr2f1_2	2	Ano3	passed_through
Nr2f1	Inafm2	0.000222067	0.016428779	-5.845467009	4.726597525	13.63450214	Excit_L6CT_CTX	Nr2f1_2	2	Inafm2	passed_through
Nr2f1	Itpka	0.000946021	0.036010869	22.42916688	3.588720855	10.93034122	Excit_L6CT_CTX	Nr2f1_2	2	Itpka	passed_through
Nr2f1	Pla2g4e	0.000814621	0.033410425	2.433031263	5.559449961	11.20762108	Excit_L6CT_CTX	Nr2f1_2	2	Pla2g4e	passed_through
Nr2f1	Tmem87a	2.34E-05	0.005939205	-2.392714027	5.468852604	17.89007786	Excit_L6CT_CTX	Nr2f1_2	2	Tmem87a	passed_through
Nr2f1	Wdr76	0.0006013	0.027616807	8.624220924	3.693566638	11.77194902	Excit_L6CT_CTX	Nr2f1_2	2	Wdr76	passed_through
Nr2f1	Shc4	0.000661006	0.029493464	6.365892381	4.113344839	11.595809	Excit_L6CT_CTX	Nr2f1_2	2	Shc4	passed_through
Nr2f1	Tmem87b	2.79E-05	0.006661423	2.539827097	6.081027138	17.55644611	Excit_L6CT_CTX	Nr2f1_2	2	Tmem87b	passed_through
Nr2f1	Chchd5	9.28E-06	0.003239144	9.39134472	4.468763018	19.65372022	Excit_L6CT_CTX	Nr2f1_2	2	Chchd5	passed_through
Nr2f1	Sstr4	6.20E-05	0.008490893	8.60284319	4.785312145	16.03938714	Excit_L6CT_CTX	Nr2f1_2	2	Sstr4	passed_through
Nr2f1	Asxl1	8.87E-05	0.01058926	-1.221221633	6.363768334	15.36379254	Excit_L6CT_CTX	Nr2f1_2	2	Asxl1	passed_through
Nr2f1	Ncoa6	2.23E-05	0.005939205	1.410251306	6.581269258	17.98475419	Excit_L6CT_CTX	Nr2f1_2	2	Ncoa6	passed_through
Nr2f1	Cnbd2	0.001683561	0.049896475	7.809563921	4.268739817	9.866055599	Excit_L6CT_CTX	Nr2f1_2	2	Cnbd2	passed_through
Nr2f1	Snhg17	0.000417404	0.023035711	2.97765468	5.157802992	12.45263008	Excit_L6CT_CTX	Nr2f1_2	2	Snhg17	passed_through
Nr2f1	Acot8	0.000311659	0.01917062	-1.860338633	5.63491715	12.99898962	Excit_L6CT_CTX	Nr2f1_2	2	Acot8	passed_through
Nr2f1	Sulf2	0.000479333	0.023779748	-1.218538292	6.376253421	12.1943946	Excit_L6CT_CTX	Nr2f1_2	2	Sulf2	passed_through
Nr2f1	Zfp971	0.000321643	0.019492221	-7.459429705	3.001284541	12.93995209	Excit_L6CT_CTX	Nr2f1_2	2	Zfp971	passed_through
Nr2f1	Mrgbp	0.000460967	0.023539716	-2.624807363	5.539990352	12.26729174	Excit_L6CT_CTX	Nr2f1_2	2	Mrgbp	passed_through
Nr2f1	Zgpat	0.000835683	0.033595558	1.418139888	6.348542476	11.16025814	Excit_L6CT_CTX	Nr2f1_2	2	Zgpat	passed_through
