perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Grin3a	3.77E-05	0.019520213	-1.184482905	7.41097878	16.98462175	Excit_L5NP_CTX	Foxg1_1	1	Grin3a	passed_through
Foxg1	Nfia	3.79E-07	0.000745426	1.804241672	6.863057801	25.79995967	Excit_L5NP_CTX	Foxg1_1	1	Nfia	passed_through
Foxg1	Nfe2l3	6.59E-05	0.028193305	1.054545001	7.113613714	15.92548464	Excit_L5NP_CTX	Foxg1_1	1	Nfe2l3	passed_through
Foxg1	Tafa1	8.12E-06	0.007265592	3.712386821	6.306744477	19.90929521	Excit_L5NP_CTX	Foxg1_1	1	Tafa1	passed_through
Foxg1	Vstm2b	1.36E-05	0.010271719	2.428735717	6.339281432	18.92897842	Excit_L5NP_CTX	Foxg1_1	1	Vstm2b	passed_through
Foxg1	Dpysl4	5.36E-05	0.025128358	1.68574026	6.772684237	16.31574173	Excit_L5NP_CTX	Foxg1_1	1	Dpysl4	passed_through
Foxg1	Galntl6	1.51E-05	0.01062871	1.055561034	7.277008513	18.72246483	Excit_L5NP_CTX	Foxg1_1	1	Galntl6	passed_through
Foxg1	Peak1	2.88E-05	0.016673555	-1.583995236	6.896762193	17.49541857	Excit_L5NP_CTX	Foxg1_1	1	Peak1	passed_through
Foxg1	Grm1	2.36E-05	0.015515008	2.637523062	6.182223051	17.87047593	Excit_L5NP_CTX	Foxg1_1	1	Grm1	passed_through
Foxg1	Adra1b	9.24E-05	0.036394651	5.603677292	4.928800872	15.28500859	Excit_L5NP_CTX	Foxg1_1	1	Adra1b	passed_through
Foxg1	Cyria	9.90E-05	0.037486464	0.755011637	7.400570806	15.15511875	Excit_L5NP_CTX	Foxg1_1	1	Fam49a	passed_through
Foxg1	Stxbp6	1.29E-09	6.34E-06	3.097945388	6.622913571	36.83048269	Excit_L5NP_CTX	Foxg1_1	1	Stxbp6	passed_through
