index,gene_symbol,gene_name,Ensembl_ID,trait,experiment,source,source_URL,FWER_signif,FDR0.05
124,BCL11A ,BAF chromatin remodeling complex subunit BCL11A ,ENSG00000119866,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
125,BCL11A ,BAF chromatin remodeling complex subunit BCL11A ,ENSG00000119866,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
126,BCL11B,BCL11 transcription factor B,ENSG00000127152,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
127,BCL9,BCL9 transcription coactivator,ENSG00000116128,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
128,BICD2,BICD cargo adaptor 2,ENSG00000185963,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
129,BICRA,BRD4 interacting chromatin remodeling complex associated protein,ENSG00000063169,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
130,BLTP1,bridge-like lipid transfer protein family member 1,ENSG00000138688,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
131,BLTP2,bridge-like lipid transfer protein family member 2,ENSG00000007202,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
132,BMPR1A,bone morphogenetic protein receptor type 1A,ENSG00000107779,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
133,BOD1L1,biorientation of chromosomes in cell division 1 like 1,ENSG00000038219,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
134,BPTF,bromodomain PHD finger transcription factor,ENSG00000171634,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
135,BRAF,"B-Raf proto-oncogene, serine/threonine kinase ",ENSG00000157764,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
136,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",ENSG00000157764,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
137,BRAF ,"B-Raf proto-oncogene, serine/threonine kinase ",ENSG00000157764,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
138,BRAF ,"B-Raf proto-oncogene, serine/threonine kinase ",ENSG00000157764,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
139,BRD3,bromodomain containing 3,ENSG00000169925,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
140,BRD4,bromodomain containing 4,ENSG00000141867,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
141,BRPF1,bromodomain and PHD finger containing 1 ,ENSG00000156983,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
142,BRPF1,bromodomain and PHD finger containing 1 ,ENSG00000156983,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,no,yes
143,BRPF1,bromodomain and PHD finger containing 1,ENSG00000156983,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
144,BRSK1,BR serine/threonine kinase 1,ENSG00000160469,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
145,BRSK2,BR serine/threonine kinase 2,ENSG00000174672,NDD,RVAS,ASD_2019_Feliciano,https://pubmed.ncbi.nlm.nih.gov/31452935/,yes,yes
146,BRSK2,BR serine/threonine kinase 2,ENSG00000174672,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
147,BRSK2,BR serine/threonine kinase 2 ,ENSG00000291428,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
148,BRWD1,bromodomain and WD repeat domain containing 1,ENSG00000185658,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
149,BTBD10,BTB domain containing 10,ENSG00000148925,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
150,BTF3,basic transcription factor 3 ,ENSG00000145741,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
151,BTG3,BTG anti-proliferation factor 3,ENSG00000281484,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
152,C2orf42,chromosome 2 open reading frame 42 ,ENSG00000115998,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
153,C3,complement C3,ENSG00000125730,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
154,CABP7,calcium binding protein 7 ,ENSG00000100314,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
155,CACNA1A,calcium voltage-gated channel subunit alpha1 A,ENSG00000141837,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
156,CACNA1C,calcium voltage-gated channel subunit alpha1 C,ENSG00000285479,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
157,CACNA1D,calcium voltage-gated channel subunit alpha1 D,ENSG00000157388,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
158,CACNA1E,calcium voltage-gated channel subunit alpha1 E ,ENSG00000198216,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,no,yes
159,CACNA1E,calcium voltage-gated channel subunit alpha1 E ,ENSG00000198216,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
160,CACNA1E,calcium voltage-gated channel subunit alpha1 E,ENSG00000198216,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
161,CACNA1G,"Calcium channel, voltage-dependent, T type, alpha 1G subunit",ENSG00000006283,SCZ ,RVAS,SCZ_SCHEMA_2022,https://pubmed.ncbi.nlm.nih.gov/35396579/,yes,yes
162,CACNA1G,calcium voltage-gated channel subunit alpha1 G,ENSG00000006283,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
163,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,ENSG00000153956,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
164,CALM1,calmodulin 1,ENSG00000198668,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
165,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,ENSG00000070808,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
166,CAMK2B,calcium/calmodulin dependent protein kinase II beta,ENSG00000058404,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
167,CAMK2D,calcium/calmodulin dependent protein kinase II delta,ENSG00000145349,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
168,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,ENSG00000148660,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
169,CAMK4,calcium/calmodulin dependent protein kinase IV,ENSG00000152495,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
170,CAMTA1,calmodulin binding transcription activator 1,ENSG00000171735,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
171,CAMTA2,calmodulin binding transcription activator 2,ENSG00000108509,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
172,CAMTA2,calmodulin binding transcription activator 2 ,ENSG00000108509,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
173,CAPN12,calpain 12 ,ENSG00000182472,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,no,Yes
174,CAPN15,calpain 15 ,ENSG00000282214,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
175,CAPRIN1,cell cycle associated protein 1 ,ENSG00000135387,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
176,CAPRIN1,cell cycle associated protein 1,ENSG00000135387,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
177,CAPRIN1,cell cycle associated protein 1 ,ENSG00000135387,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
178,CASK ,calcium/calmodulin dependent serine protein kinase ,ENSG00000147044,"NDD, XLDD",RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
179,CASK ,calcium/calmodulin dependent serine protein kinase ,ENSG00000147044,"NDD, XLDD",RVAS,DDDX_2021,https://pubmed.ncbi.nlm.nih.gov/33504798/,yes,yes
180,CASKIN1,CASK interacting protein 1,ENSG00000167971,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
181,CASKIN2,CASK interacting protein 2,ENSG00000177303,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
182,CASZ1,castor zinc finger 1 ,ENSG00000130940,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
183,CASZ1,castor zinc finger 1 ,ENSG00000130940,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
184,CASZ1,castor zinc finger 1,ENSG00000130940,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
185,CASZ1,castor zinc finger 1 ,ENSG00000130940,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
186,CBL,Cbl proto-oncogene ,ENSG00000110395,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
187,CBL,Cbl proto-oncogene,ENSG00000110395,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
188,CBLL1,Cbl proto-oncogene like 1,ENSG00000105879,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
189,CBX3,chromobox 3,ENSG00000122565,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
190,CBX5,chromobox 5,ENSG00000094916,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
191,CDC42,cell division cycle 42,ENSG00000070831,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
192,CDC42BPB,CDC42 binding protein kinase beta ,ENSG00000198752,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
193,CDC42BPB,CDC42 binding protein kinase beta,ENSG00000198752,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
